Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,asian_population,black_population,zip code tabulation area
1394.0,786.0,106786.0,116565.0,34.0,51.0,0.0,15142
22205.0,8610.0,113750.0,68868.0,915.0,1786.0,946.0,15143
4010.0,1852.0,67391.0,36694.0,224.0,7.0,7.0,15144
6764.0,2973.0,40315.0,24437.0,1460.0,66.0,1524.0,15145
28650.0,12360.0,74987.0,38365.0,2398.0,1997.0,3773.0,15146
16361.0,7964.0,55253.0,36364.0,1727.0,42.0,3448.0,15147
2500.0,1113.0,34966.0,24539.0,781.0,2.0,770.0,15148
13057.0,6640.0,74983.0,50569.0,1408.0,250.0,2528.0,15201
20028.0,9959.0,57551.0,40963.0,1713.0,191.0,2021.0,15202
10207.0,5644.0,56435.0,47100.0,2430.0,259.0,917.0,15203
8124.0,3564.0,47395.0,26363.0,1497.0,174.0,3088.0,15204
23410.0,10827.0,66594.0,40597.0,2850.0,940.0,2274.0,15205
29435.0,14753.0,54803.0,44318.0,4297.0,1875.0,8917.0,15206
9963.0,4729.0,47709.0,29976.0,2153.0,179.0,1598.0,15207
9153.0,4126.0,48833.0,47278.0,2177.0,191.0,4994.0,15208
11743.0,5510.0,67267.0,39600.0,605.0,62.0,450.0,15209
26964.0,11188.0,41065.0,24065.0,6435.0,1316.0,7923.0,15210
10512.0,5638.0,66705.0,49961.0,956.0,160.0,720.0,15211
28461.0,14176.0,53882.0,35746.0,5147.0,533.0,7698.0,15212
28172.0,9597.0,26994.0,20113.0,8420.0,4130.0,3452.0,15213
14935.0,6129.0,53721.0,28377.0,3111.0,142.0,5350.0,15214
12966.0,5532.0,81004.0,57628.0,848.0,722.0,345.0,15215
22449.0,10385.0,66770.0,42461.0,1848.0,410.0,2012.0,15216
26409.0,11662.0,79279.0,57468.0,3418.0,2715.0,1214.0,15217
13563.0,6715.0,60384.0,42258.0,1326.0,359.0,2647.0,15218
10453.0,5377.0,28191.0,26833.0,3458.0,607.0,6762.0,15219
18313.0,8826.0,75363.0,42698.0,1333.0,3217.0,1002.0,15220
29264.0,15214.0,47025.0,35996.0,5762.0,526.0,13179.0,15221
5664.0,3018.0,109426.0,82188.0,366.0,586.0,554.0,15222
7062.0,3364.0,55330.0,31596.0,838.0,171.0,153.0,15223
10916.0,5574.0,57406.0,40800.0,1645.0,421.0,2066.0,15224
953.0,523.0,50592.0,32308.0,136.0,8.0,35.0,15225
13725.0,6253.0,67629.0,36039.0,1427.0,238.0,586.0,15226
29631.0,12833.0,64827.0,36212.0,3424.0,1743.0,2003.0,15227
18503.0,7437.0,116278.0,61782.0,980.0,469.0,114.0,15228
