Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,zcta
25385,9550,125216,55921,970,438,23287,846,0,3051
8484,2974,134000,55305,115,0,8179,25,24,3052
25780,9438,129571,53987,409,250,24309,310,0,3053
27139,10180,120730,52715,1086,337,24246,1238,0,3054
31469,12371,69452,38758,3289,1198,24069,1200,37,3060
28866,11917,101433,54122,1093,852,22128,4244,98,3062
15941,6750,103466,55015,527,328,12534,1082,31,3063
14667,6440,83780,48669,1900,267,12032,420,14,3064
14221,5029,121875,52755,396,189,13062,238,8,3076
30350,12258,101856,52109,1315,378,26612,1187,99,3079
15764,5351,171563,71367,318,101,13633,896,0,3087
3228,1972,74146,55693,858,431,2395,319,6,3101
33759,14214,66064,36760,3888,2526,26777,1307,100,3102
37093,14826,68344,37227,4970,1746,26808,2761,40,3103
34962,14549,80018,44181,3474,1663,27990,1015,163,3104
14654,5076,100711,45212,522,272,13145,465,62,3106
10374,3968,94818,46791,258,72,9118,531,1,3109
23385,7917,151850,65822,786,155,20137,1498,0,3110
2343,914,114167,51405,121,11,2141,11,1,3224
5925,2168,115682,63420,324,21,5696,0,0,3229
4846,1844,90805,40335,156,0,4661,60,0,3234
2659,1005,119028,45724,97,5,2491,58,2,3258
12028,4445,88475,36577,1252,307,11012,104,5,3275
33986,13628,78394,43772,3381,1131,29236,1566,206,3301
16118,6493,81992,38592,1142,383,14966,239,45,3303
8235,2895,147951,64380,210,0,7840,111,0,3304
5638,2291,77473,38192,557,0,5473,24,0,3307
23102,10814,100839,68296,1336,331,20413,952,14,3801
32925,14624,90868,52729,2422,433,29344,1302,0,3820
2213,688,165583,59633,87,9,1912,96,0,3823
15073,3000,98190,31112,1705,80,13351,605,5,3824
22543,9115,103734,60752,1252,206,20509,861,0,3833
4052,1540,143625,62868,158,127,3641,136,0,3840
904,430,164167,156894,32,0,880,4,0,3854
1985,637,184688,72195,23,3,1874,15,0,3856
9400,4203,98002,51411,376,90,8754,130,0,3857
4547,1839,116350,63634,112,2,3639,405,0,3861
4552,1990,116034,73347,247,4,4125,236,0,3862
7843,3207,103788,52551,339,60,6787,35,0,3865
22349,9392,74194,40197,2087,170,20944,134,0,3867
6368,2573,70905,36203,654,69,5803,244,6,3868
2427,1000,80921,47647,185,49,2221,0,0,3869
5170,2253,137250,95844,304,0,5092,0,0,3870
12088,5284,75833,39712,1046,241,10328,534,6,3878
7715,3047,126830,62781,238,0,7251,233,0,3885
7991,3444,80147,39359,432,37,7455,135,0,3901
6848,2747,92474,46447,278,108,6038,22,47,3903
8113,4007,73407,47250,643,258,7278,121,56,3904
1990,842,130100,55824,78,0,1902,0,6,3905
5003,2042,90785,43009,204,34,4731,12,0,3906
7521,2797,96701,43246,362,0,6963,146,115,3908
10811,4566,106616,53771,573,0,10388,41,0,3909
24590,10359,65485,37037,2757,287,22751,511,8,4005
17999,6043,103152,45264,671,163,15956,330,48,4038
7965,3200,93810,51840,396,3,7649,8,5,4046
18648,7507,92813,47862,849,90,16941,403,7,4062
617,393,42708,50787,53,0,583,1,0,4063
8423,4831,63160,44151,1069,4,7814,70,108,4064
20446,8872,81326,45129,1615,422,18582,239,0,4072
22098,9054,114395,63745,826,52,20399,525,120,4074
20339,8910,81198,40736,1879,867,17487,653,22,4092
8408,3402,76364,39681,140,33,7261,23,0,4093
17832,10279,54513,53206,3345,1994,14222,452,17,4101
17501,8096,77350,47668,1608,833,14913,608,54,4102
31892,13286,81523,46444,2718,3061,26214,1249,19,4103
12436,4894,143235,87495,243,7,11398,160,0,4105
26873,11883,81551,47589,1395,1924,22764,651,103,4106
9519,3847,144250,77581,390,0,9122,192,0,4107
859,471,90893,64155,155,0,810,0,0,4108
24038,10309,59659,37416,2661,529,22249,147,0,4210
4377,1701,92337,45758,370,10,4248,0,0,4236
37577,15611,54317,29223,6280,4092,30329,835,57,4240
4698,1837,70096,34334,169,14,4451,0,0,4250
4971,1901,69989,33953,420,17,4772,0,0,4252
2760,1119,90792,49903,140,3,2630,0,0,4258
5883,2375,100344,41615,540,5,5800,0,0,4274
6935,2917,70536,35948,742,44,6657,11,5,4280
26394,12174,52500,33908,4708,342,24873,227,115,4330
2988,1445,62734,35976,579,0,2769,0,0,4344
12282,4938,70194,37385,1135,3,11317,114,13,4345
1522,782,48654,33174,364,6,1510,0,0,4346
